x_Ca,dG_mix(kJ/mol),dH_mix(kJ/mol),dS_mix(J/molK),G_ex(kJ/mol),gamma_Mg,gamma_Ca
0.00,0.000,-0.000,-0.000,-0.000,1.0000,0.0767
0.01,-0.591,-0.185,0.466,-0.185,0.9997,0.0807
0.02,-1.077,-0.365,0.815,-0.365,0.9990,0.0849
0.03,-1.520,-0.542,1.120,-0.542,0.9977,0.0893
0.04,-1.935,-0.716,1.396,-0.716,0.9959,0.0938
0.05,-2.326,-0.885,1.650,-0.885,0.9936,0.0985
0.06,-2.699,-1.051,1.887,-1.051,0.9908,0.1034
0.07,-3.054,-1.213,2.109,-1.213,0.9875,0.1085
0.08,-3.395,-1.372,2.318,-1.372,0.9837,0.1138
0.09,-3.722,-1.526,2.515,-1.526,0.9794,0.1193
0.10,-4.037,-1.677,2.703,-1.677,0.9746,0.1249
0.11,-4.340,-1.825,2.881,-1.825,0.9694,0.1308
0.12,-4.631,-1.968,3.051,-1.968,0.9637,0.1369
0.13,-4.912,-2.108,3.212,-2.108,0.9575,0.1432
0.14,-5.183,-2.244,3.367,-2.244,0.9509,0.1497
0.15,-5.444,-2.376,3.514,-2.376,0.9439,0.1564
0.16,-5.696,-2.505,3.655,-2.505,0.9364,0.1633
0.17,-5.939,-2.630,3.790,-2.630,0.9285,0.1705
0.18,-6.172,-2.751,3.919,-2.751,0.9202,0.1779
0.19,-6.398,-2.868,4.042,-2.868,0.9115,0.1855
0.20,-6.614,-2.982,4.160,-2.982,0.9024,0.1933
0.21,-6.822,-3.092,4.273,-3.092,0.8929,0.2014
0.22,-7.023,-3.198,4.381,-3.198,0.8831,0.2096
0.23,-7.215,-3.301,4.484,-3.301,0.8730,0.2182
0.24,-7.399,-3.400,4.582,-3.400,0.8625,0.2269
0.25,-7.576,-3.495,4.675,-3.495,0.8517,0.2359
0.26,-7.745,-3.586,4.764,-3.586,0.8406,0.2451
0.27,-7.907,-3.674,4.849,-3.674,0.8293,0.2545
0.28,-8.061,-3.758,4.930,-3.758,0.8176,0.2642
0.29,-8.208,-3.838,5.006,-3.838,0.8058,0.2740
0.30,-8.348,-3.914,5.079,-3.914,0.7936,0.2841
0.31,-8.480,-3.987,5.147,-3.987,0.7813,0.2945
0.32,-8.606,-4.056,5.212,-4.056,0.7688,0.3050
0.33,-8.724,-4.121,5.273,-4.121,0.7560,0.3158
0.34,-8.835,-4.182,5.330,-4.182,0.7432,0.3267
0.35,-8.939,-4.240,5.383,-4.240,0.7301,0.3379
0.36,-9.037,-4.294,5.433,-4.294,0.7169,0.3493
0.37,-9.127,-4.345,5.479,-4.345,0.7036,0.3609
0.38,-9.211,-4.391,5.521,-4.391,0.6902,0.3726
0.39,-9.288,-4.434,5.560,-4.434,0.6767,0.3846
0.40,-9.358,-4.473,5.595,-4.473,0.6631,0.3967
0.41,-9.421,-4.509,5.627,-4.509,0.6494,0.4091
0.42,-9.478,-4.540,5.656,-4.540,0.6357,0.4215
0.43,-9.528,-4.568,5.681,-4.568,0.6220,0.4342
0.44,-9.571,-4.593,5.703,-4.593,0.6083,0.4470
0.45,-9.608,-4.613,5.721,-4.613,0.5945,0.4599
0.46,-9.637,-4.630,5.736,-4.630,0.5808,0.4729
0.47,-9.661,-4.643,5.748,-4.643,0.5671,0.4861
0.48,-9.677,-4.652,5.756,-4.652,0.5534,0.4994
0.49,-9.687,-4.658,5.761,-4.658,0.5398,0.5128
0.50,-9.691,-4.660,5.763,-4.660,0.5262,0.5262
0.51,-9.687,-4.658,5.761,-4.658,0.5128,0.5398
0.52,-9.677,-4.652,5.756,-4.652,0.4994,0.5534
0.53,-9.661,-4.643,5.748,-4.643,0.4861,0.5671
0.54,-9.637,-4.630,5.736,-4.630,0.4729,0.5808
