Metric,Mean,Median,Std,P5,P25,P75,P95,Min,Max
SCM_time(min),9.10,7.23,6.42,2.70,4.74,11.41,21.80,1.30,60.49
W_net(kWh/ton),13384.45,13141.16,1772.15,10875.07,12096.72,14454.17,16721.59,9279.39,20332.90
eff_elec(%),46.44,46.51,5.92,36.55,42.29,50.53,56.20,30.06,65.87
eff_2nd_law(%),34.57,34.62,4.41,27.21,31.48,37.61,41.84,22.38,49.03

Probability Analysis
Target,P(X < target)
W_net < 12552,35.8%
W_net < 13000,46.6%
W_net < 14000,67.6%
W_net < 15000,82.1%
W_net < 20000,100.0%
t < 5 min,27.9%
t < 10 min,68.5%
t < 15 min,85.8%
t < 20 min,93.4%
t < 30 min,98.4%
